标题,分类ID,内容,关键词,来源链接
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"为防范化解校园安全风险，切实保障学生生命财产安全，学校自2024年春季学期开启校园车辆治理工作，为保障校园交通安全，按照相关要求，严控校园新增私有电动自行车，因特殊通勤需要，经学校审批同意获得电动自行车校园通行证资格者外，其他新生电动自行车禁止入校。
8.关于大学生医保
为保障大家在学期间获得及时、有效的医疗保障，根据国家及秦皇岛市相关政策，鼓励在校大学生在学籍地参加城乡居民基本医疗保险。具体政策和参保优势，请仔细阅读《大学生城乡居民基本医疗保险参保须知》。每名学生均应按要求应参尽参，应保尽保。
9．其它
（1）根据国家规定，新生来校时可持《录取通知书》购买一张从家庭所在地到秦皇岛市（秦皇岛站、北戴河站、山海关站）的学生优惠票。
（2）新生入学报到时凡自带的个人档案，请务必保管好并及时交到所在学院。
（3）新生入学后需进行体检。
七．学校各有关部门联系方式",,
我校实行学分制收费，学生正常（不含重修）完成学业所缴纳的学费总额不会超出上述学年学费标准。,3,"负责事项 | 相关部门名称 | 联系电话（0335） | 备注
入学绿色通道咨询 | 学生资助管理中心 | 8045503 | 周一至周五9:00-17:00
助学贷款咨询 | 学生资助管理中心 | 8063945 | 周一至周五9:00-17:00
公寓管理 | 后勤管理处 | 8067825 | 周一9:00-11:00
党员组织关系 | 党委组织部 | 8074605 | 周四9:00-11:00
校财务缴费咨询 | 计划财务处 | 8074809 | 周一、周四9:00-11:00
转专业 | 教务处 | 8057092 | 8月24日后周一9:00-11:00
教材 | 教务处 | 8057023/8052400/8052400 | 8月26日后9:00-17:00
图书馆入馆前培训 | 图书馆 | 8605207 | 8月26日后9:00-17:00
户口迁移 | 安全工作处 | 8074785 | 周一9:00-11:00
安全 | 安全工作处 | 8079110 | 全天
电子迎新技术支持 | 信息技术中心 | 8051283 | 8月20日后9:00-11:00
心理咨询 | 学生工作处 | 8066143 | 周一至周日9:00-12:00；14:30-17:30
迎新接站 | 学生工作处 | 8066489 | 8月20日后9:00-17:00
招生咨询 | 招生就业处 | 8057069 | 8:30-17:30",,
2026级萌新指南 | 正版化软件资源获取指南,3,"迎新指南
2026
软件正版化
本期导图
正版软件管理与服务平台介绍
往期安装指南推文
一
正版软件管理与服务平台
正版软件管理与服务平台，为学校师生提供了常用的正版软件，如：Windows、Office 、Visio、WPS 365、福昕PDF编辑器、中望CAD、MWORKS等。
平台入口：访问“燕山大学”官网，首页下滑到底部，点击“正版化”即可，也可直接输入网址访问：https://software.ysu.edu.cn 。
软件的下载与激活步骤，详见该软件下载页面“安装步骤”的详细说明。
二
往期安装指南推文
软件正版化 | 江民杀毒升级网络版！安装及升级指南速看
软件正版化 | @2026 级新生们！WPS 365 燕大专属福利来袭，新生免费领！
软件正版化|你的Office该""转正""啦！
校园软件正版化之福昕PDF编辑器
咨询电话
0335-8051286
盗版软件的存在严重破坏了软件市场秩序，由于其无法得到软件供应商维护和升级服务，易遭受病毒攻击，会严重危害网络信息安全，也阻碍了软件产业的发展。因此，推行软件正版化势在必行，自觉使用正版软件，从你我开始！
END
编 辑 | 小 T
复 审 | 曾 涛",,
2026级萌新指南 | 正版化软件资源获取指南,3,终 审 | 杨永涛,,
2026级萌新指南 | 校园网故障应对——自检与报修,3,"迎新指南
2026
校园网
（三）
本期导图
简单故障自查与解决方案
故障报修平台介绍
一
简单故障自查与解决方案
1
连接后无法弹出认证页面
1.在连接无线网络前，需要确认设备的IP地址、DNS服务器等设置为“自动获取”方式（一般情况下设备的默认设置都是“自动获取”），自己手动设置的其他DNS无法打开认证页面。
以常见的Windows系统电脑为例，打开“控制面板”（快捷键Win + R，输入“control”），查看方式选择“小图标”，点击“网络和共享中心”→“更改适配器设置”，右键点击使用中的网络（本地连接/以太网）→选择“属性”，选中“Internet协议版本4(TCP/IPv4)”，点击“属性”，IP及DNS应全部设置为“自动获取”方式。
手机和平板等移动设备的设置方法更为简单，在无线网络设置中找到对应的网络后，进入设置选项，选择自动获取即可。
1.命令提示符
2.控制面板
3.更改适配器设置
4.打开属性
5.查看配置
浏览器中输入网址，查看是否可以跳转至认证页面：
https://auth1.ysu.edu.cn
实名认证系统登录认证界面",,
2026级萌新指南 | 校园网故障应对——自检与报修,3,"2.确认没有开启VPN、游戏加速器等软件，若有，关闭它，校园网认证成功后再使用。
2
怎么查看IP配置？
1.方法同上所述，打开“网络和共享中心”→“更改适配器设置”，右键点击使用中的网络（本地连接/以太网）→选择“状态”，点击“详细信息”，查看”已启用DHCP“是否为”是“（自动获取是否打开）、IP及DNS是否正确，DNS必须是学校默认的DNS：202.206.240.12，校内无线IP地址都是“10.X.X.X”的格式；
2.确认设备直接连接的校园网络，中间没有交换机、路由器等设备；
3.若以上检查都没问题但仍无法用网，或获取的IP是169开头的地址，可进行网络报修。
1.命令提示符
2.控制面板
3.更改适配器设置
4.打开状态
5.查看详细信息
3
为什么登录时显示：用户不允许在此地接入？
学校各区域有其特定的IP范围，用户在移动时，设备如果一直处于无线网连接状态，有可能携带原有IP漫游到新区域，而这个IP不在新区域的允许认证范围内。可以在自助服务→我的设备中将设备下线，此种情况一般会在半小时内自动恢复正常。
自助服务-我的设备
4
网络连接成功，但网页访问异常",,
2026级萌新指南 | 校园网故障应对——自检与报修,3,"查看电脑上VPN、代理软件、游戏加速器等工具是否关闭。
5
如何自测网络质量？
常用的测试网络质量的方法是用长ping地址的方式来进行的。在“命令提示符”页面（快捷键Win+R）输入“cmd""，弹出控制台界面输入“ping 地址 -t”，然后按“回车”测试网络情况，如果返回的是“连接超时”表示到这个地址不通，如果返回信息“时间”波动比较大，还频繁穿插“连接超时”表示网络质量很差，会影响用户上网体验，可进行报修。
1.命令提示符
2.测试网络
6
实验室内网络故障如何自检？
1.先检查网络设备电源是否插好(维修时经常遇到设备没插电就报修)；
2.检查个人网络设备物理连接状态，如：网线是否出现松动、网口是否正常、网口灯亮没亮、网线是否损坏、交换机是否老旧故障；
3.检查房间内网线连接是否形成环路，即不能把一根网线的两头直接或间接地接到同一台交换机上。
网络环路通常发生在网络节点比较密集的环境中，导致的后果类似电路中的短路，而网线与设备间又没有类似的""零""""火""标识，导致接入的随意性比较大，从而易造成使用者误将同一根网线两头同时接入到同一台交换机端口中，形成一个环形网络链路。",,
2026级萌新指南 | 校园网故障应对——自检与报修,3,"网络环路的危害非常大，轻则一个房间，重则导致整栋楼的网络全部中断。
环形回路示意图
环路的明显特征是网络时断时续，如不能明确是否形成环路，可尝试直接用网线，一头连接电脑网口，一头直接插到墙上网口，测试电脑是否可以打开学校首页。易造成网络环路的几种可能：
1.检查联网设备是否同时连接了网线和房间内路由器的WiFi信号，WiFi信号和网线连接会构成网络环路；
2.一根网线从路由器/交换机网口接出后，又直接或间接的连回了该路由器/交换机的其他网口；
3.跨房间接网线。
房间内网线凌乱的，要保证最简化连接，不要把两端连接情况不明的网线接入路由器/交换机。
二
故障报修平台介绍
报修方式
微信报修：关注“燕山大学信息技术中心”公众号，在菜单栏中点击“线上服务→网络报修”，上传网络故障提示照片，描述具体用网环境、配置、现象。
服务-网络报修
提交报修
报修时效
当日17点前的报障当日响应，维修技术人员会提前电联了解网络故障情况、约定上门时间，无特殊原因不超过两个工作日修复故障。
报修须知
维修内容：网络线路故障、网络通信故障等。(个人计算机系统调试和安装、路由器调试配置等事宜暂不在小T处理范围之内，请勿报修，感谢理解！)",,
2026级萌新指南 | 校园网故障应对——自检与报修,3,"报修时请同学们明确地描述问题现象、时间、地点，请注明用的网络类型（有线/无线，校园网还是运营商宽带）、访问的什么网页及错误提示照片，便于技术人员了解故障类型。
正确报修示例
错误报修示例
如所在区域已停电，那么网络服务也会暂时中断，请先等待电力恢复再观察网络恢复情况，如恢复供电后网络仍未启用，可联系报修。
咨询电话
0335-8057072
END
编 辑 | 小 T
复 审 | 曾 涛
终 审 | 杨永涛",,
2026级萌新指南 | 校园邮箱一文全解,3,"迎新指南
2026
校园邮箱
本期导图
邮箱账号申请
如何找回密码
手机号绑定
二次验证设置
客户端绑定
邮箱安全
一
邮箱账号申请
在校期间，每位同学都可以申请一个校园邮箱账号，通过“个人邮箱自助服务系统”申请。
详细流程：
01
登录燕山大学“一网通办”平台：https://ehall.ysu.edu.cn，搜索“个人邮箱自助服务”进入系统”。
02
点击“发起申请”。
注意：每位师生只能有一个校园邮箱，若此前已申请过校园邮箱就不可以重复申请了哦。
03
填写必填项，之后点击“提交”。
注意：申请经由人工审核方可通过，请认真填写，填错可“追回”。
04
提交后在详情处查看状态。
注：状态分为：审核中、已驳回、已追回、已完成、草稿、已终止。状态处于“审核中”，用户可在详情页追回申请；状态处于“已驳回”，请编辑修改后重新提交；状态处于“已完成”，用户即可使用自己申请的账户密码登录并使用校园个人邮箱。
05
登录及使用：
学生邮箱登录网址：
https://stumail.ysu.edu.cn
重要
提示
若申请的邮箱账号是：
XXX@stumail.ysu.edu.cn，
那么登录时账号请填“XXX”，不要误填成学号哦!
密码就是提交申请时所设的密码。",,
2026级萌新指南 | 校园邮箱一文全解,3,"注意不要误登录教师邮箱网址。
二
如何找回密码
邮箱的密码找回，有两种途径：
方式一：通过上述“个人邮箱自助服务系统”找回，点击“我的邮箱”，之后点击“修改密码”。（小 T 更推荐此方式）
方式二：通过邮箱登录页找回，点击“找回密码”功能。
(注意：此途径需预先在邮箱个人设置中绑定过手机号。)
三
手机号绑定
同学们申请账号成功后，默认已绑定手机号。若变更手机号，可登录邮箱后，点击个人设置→个人信息→手机绑定。
特别
提示
想要换手机号的同学，旧号废弃前一定要记得提前换绑手机号哦！
四
二次验证设置
二次验证，是采用静态密码+动态密码两次验证的登录方式，是提高邮箱账户安全非常有效的方法，建议师生在邮箱设置中开启此功能，详细介绍和设置方法可点击下方查看往期推文：
服务 | 校园邮箱二次验证详解（上）
服务 | 校园邮箱二次验证详解（下）
五
客户端绑定
电脑登录不方便，想用手机随时随地查收邮件怎么办？可以使用邮箱客户端绑定邮箱账号，绑定方式点击下方查看推文：
学生篇 | 手机自带客户端绑定校园邮箱详细教程，一文解锁不迷路！
六
邮箱安全
钓鱼邮件通常具有很强的迷惑性和隐蔽性，一不留神很容易掉入陷阱。点击下方了解防范指南：",,
2026级萌新指南 | 校园邮箱一文全解,3,"校园邮箱丨图解-如何防范钓鱼邮件
邮件千万条，安全第一条
咨询电话
0335-8057072
END
编 辑 | 小 T
复 审 | 曾 涛
终 审 | 杨永涛",,
2026级萌新指南 | 答你所问，校园网高频问题合集,3,"迎新指南
2026
校园网
（二）
本期导图
01
Q
上网实名认证怎么访问？
A
设备连接到校园无线网络后，一般会自动弹出统一身份认证界面，认证成功即可上网。
实名认证系统登录认证界面
各设备反应时间不同，长时间不弹出认证的设备，可尝试：
1.网址访问：在浏览器中手动输入校园网实名认证系统网址:
https://auth1.ysu.edu.cn 。
2.官网访问：进入燕山大学官网https://www.ysu.edu.cn，点击顶栏“实名认证”图标，也可直达校园网实名认证系统。
官网实名认证入口
02
Q
校园网账号需要办理申请手续吗？与运营商宽带有什么不同？
A
已默认开通，校园网免费流量是学校为所有在校师生免费提供的网络服务，不需申请办理和激活，与运营商提供的网络无关，校园网为同学们提供60GB/月的免费流量。当知道自己学号的那一刻，就已经拥有了自己的上网账号，每一位在校师生都可以使用该服务；
运营商宽带网络非必须办理业务，区别于校园网，运营商网络是由运营商公司提供的服务，请同学们根据自身用网需求前往营业网点办理。
03
Q
校园网密码忘了怎么办？
A",,
2026级萌新指南 | 答你所问，校园网高频问题合集,3,"校园网认证使用统一身份认证方式，若统一身份认证密码忘记了，推荐使用一网通办（或今日校园APP选择“学工号登录”方式）登录按钮下方的“找回密码”功能，之后按提示用手机号自助找回。
04
Q
统一身份认证系统中绑定的手机号已停用，又或者登记的是家人手机号怎么找回密码？
A
手机号变更前换绑路径：登录今日校园→我的→通用设置→账号设置，请及时换绑，便于今后账号管理和密码找回；
通用设置
账号设置
若绑定的家长的手机号码，可以请家长代收验证码后及时变更为本人账号；
若手机号已停用或其他情况，请点击一网通办（或今日校园APP选择“学工号登录”方式）登录按钮下方的“找回密码”功能，输入账号→信息校验，点击下方的“账号申诉”，按照要求填写资料，等待申诉通过后，手机号即完成变更，新密码也会同时发送到新手机号上。
05
Q
怀疑账号密码被他人盗用应该怎么办？
A
现象：
被盗用的可能表象：
1.校园网流量消耗异常；
2.自己已登录的设备不足4个，但是提示：已超出可登录设备数。
自检：
1.登录自助服务→历史明细，查看上网时间是否和自己的使用时间匹配，查看是否都是自己的设备；
2.若有可疑设备同时在线，在自助服务→我的设备中点击“下线”。",,
2026级萌新指南 | 答你所问，校园网高频问题合集,3,"自助服务-我的设备
解决办法：
若怀疑账号被他人盗用，最有效的方式是直接修改统一身份认证密码，以防他人盗用或设备自动记住了统一身份认证密码（修改密码方式：登录一网通办→账号管理→账号安全→更换密码）。
账号管理
更换密码
06
Q
为什么登录时提示密码错误？
A
这种情况可能原因：
1.密码输入有误；
2.统一身份认证密码已泄露，密码被他人篡改。
若排除原因1，按上述密码被盗用处理即可。
07
Q
登录认证时提示：达到上网最大终端数怎么办？
A
校园网允许师生账号名下最多4个终端设备同时在线。当第5台设备认证上网时，会出现该提示内容，可以在自助服务→我的设备中下线设备。
08
Q
为什么舍友的网速比我的快？
A
无线网网络的速度受上网设备本身以及当时的环境影响较大。尤其是在开放性的环境中，无线信号会受到较多的干扰，速度也会出现波动。可能原因：
1.检查下设备与无线设备间存在遮挡；
2.设备不支持WIFI6技术；
3.低配电脑使用的是低压单频无线网卡；
4.办理的宽带套餐不一样。
若以上检查都没问题，可进行网络报修。
09
Q
无线信号很强，但上网质量差？
A",,
2026级萌新指南 | 答你所问，校园网高频问题合集,3,"校园无线网是由很多个无线AP组成的，分布在楼宇不同位置，连接到同一AP上的设备过多，或者同一AP上有其他用户在高速下载，都会影响上网质量。
宿舍区无线AP外观
10
Q
为什么信号无明显异常，无线网络却掉线频繁？
A
可能原因：
1.密码被盗，账号被他人使用；
2.无线网卡使用了节能模式，一段时间没有操作，网卡休眠；
3.来自无线信号屏蔽器、无线麦克风、无线路由器、无线键盘鼠标等同频WIFI信号互相干扰。（无线麦克风、无线键盘鼠标现阶段除蓝牙连接外一般为2.4Ghz信号，对5G信号无影响。）该情况一般会造成周边设备出现相同状况，若只有个人出现该情况，需要进行网络报修。
11
Q
为什么运营商宽带认证报错？
A
可能的原因：绑定宽带的密码错误、欠费、电话卡注销但宽带还在使用，停机保号恢复使用后还没恢复宽带。
非明确的密码错误提示，都请联系办理宽带的人员或校内运营商。
12
Q
为什么选择运营商宽带服务时只允许1台设备在线？
A
由于运营商宽带上网模式限制，每一个运营商宽带账号同一时间只能在一台设备上登录，其他流量消耗较少的设备可选择使用校园网流量。
13
Q
运营商宽带网络差，通话信号差怎么办？
A",,
2026级萌新指南 | 答你所问，校园网高频问题合集,3,"三家运营商使用的是他们自己的基站设备，由各自自主管理，建议联系运营商客服反馈问题，若反馈无果，可联系小T或其他信息技术中心老师协助解决。
14
Q
为什么到了教室，运营商网络用不了呢？
A
教学区无线网络只提供校园网服务，宿舍区、图书馆提供校园网及运营商服务。
15
Q
本校升学了，现在想将运营商账号与新学号绑定，还需登录旧学号进行解绑吗？
A
不需要，已经自动解除绑定关系啦，直接在新学号下进行绑定操作就行了。
咨询电话
0335-8057072
END
编 辑 | 小 T
复 审 | 曾 涛
终 审 | 杨永涛",,
2026级萌新指南 | 校园网入门指南，助你轻松上网！,3,"迎新指南
2026
校园网
（一）
本期导图
校园网覆盖区域
如何连接上网
校园网自助服务系统
免费流量有多少
运营商流量
一
校园无线网络覆盖区域
宿舍区无线设备
学校贴心地在教学区、图书馆和宿舍楼等区域都覆盖了校园无线网络。
无线网络名称（SSID）分为教学区的“iYanDa”和生活区的“iYanDa - Domitary”，大家连接时注意不要选错。
二
如何连接上网
设置好设备后，搜索无线网络信号“iYanDa”或“iYanda - domitary”，连接成功后，系统会自动弹出校园网实名认证界面。这里要使用统一身份认证登录（还未激活今日校园的同学请先激活！用户名为本人学号，密码与今日校园的密码相同）。
实名认证系统登录认证界面
如果是新生首次登录校园网，登录页的服务选择“校园网”。若后期有大流量需求，自行前往运营商办理了流量卡，并在自助服务中完成绑定，就可以选择下方其他服务选项。
选择服务界面
认证成功界面
实名认证页面入口
1.网址访问：校园网实名认证系统网址:
https://auth1.ysu.edu.cn 。",,
